,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-21,1.0,0.0,1.0,0.0,,,,1.0,0.0,1.0,,,,
2020-01-22,,,,,1.0,0.0,0.0,,,,,,,
2020-01-23,,,,,1.0,0.0,0.0,,,,,,,
2020-01-24,3.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,,,,
2020-01-25,,,,,3.0,0.0,0.0,,,,,,,
2020-01-26,4.0,0.0,2.0,0.0,4.0,0.0,0.0,,,,,,,
2020-01-27,5.0,0.0,3.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,,,,
2020-01-28,8.0,0.0,4.0,0.0,8.0,0.0,0.0,8.0,0.0,7.0,,,,
2020-01-29,,,,,8.0,0.0,0.0,,,,,,,
2020-01-30,9.0,0.0,5.0,0.0,9.0,0.0,0.0,9.0,0.0,7.0,,,,
2020-01-31,10.0,0.0,5.0,0.0,10.0,0.0,0.0,10.0,0.0,8.0,,,,
2020-02-01,,,,,10.0,0.0,0.0,,,,,,,
2020-02-02,,,,,10.0,0.0,0.0,,,,,,,
2020-02-03,,,,,10.0,0.0,0.0,,,,,,,
2020-02-04,,,,,11.0,0.0,0.0,,,,11.0,0.0,0.0,0.0
2020-02-05,12.0,0.0,7.0,0.0,11.0,0.0,0.0,11.0,0.0,8.0,11.0,0.0,0.0,0.0
2020-02-06,15.0,0.0,10.0,0.0,16.0,0.0,1.0,16.0,0.0,13.0,16.0,0.0,1.0,0.0
2020-02-07,,,,,16.0,0.0,1.0,,,,16.0,0.0,1.0,0.0
2020-02-08,,,,,17.0,0.0,1.0,18.0,0.0,13.0,,,,
2020-02-09,,,,,18.0,0.0,1.0,,,,,,,
2020-02-10,,,,,18.0,0.0,1.0,,,,18.0,0.0,1.0,0.0
2020-02-11,,,,,18.0,0.0,1.0,,,,18.0,0.0,1.0,0.0
2020-02-12,,,,,18.0,0.0,1.0,,,,,,,
2020-02-13,,,,,18.0,0.0,1.0,,,,18.0,0.0,1.0,0.0
2020-02-14,,,,,18.0,0.0,2.0,,,,18.0,0.0,1.0,0.0
2020-02-15,17.0,0.0,11.0,0.0,18.0,0.0,2.0,,,,18.0,0.0,1.0,0.0
2020-02-16,,,,,20.0,1.0,2.0,20.0,0.0,14.0,20.0,1.0,2.0,0.0
2020-02-17,19.0,0.0,11.0,0.0,22.0,1.0,2.0,22.0,0.0,14.0,22.0,1.0,2.0,0.0
2020-02-18,,,,,22.0,1.0,2.0,,,,22.0,1.0,2.0,0.0
2020-02-19,,,,,23.0,1.0,2.0,23.0,0.0,14.0,23.0,1.0,2.0,0.0
2020-02-20,,,,,24.0,1.0,2.0,24.0,0.0,14.0,24.0,1.0,2.0,0.0
2020-02-21,21.0,0.0,11.0,0.0,26.0,1.0,2.0,26.0,0.0,16.0,26.0,1.0,2.0,0.0
2020-02-22,,,,,26.0,1.0,2.0,,,,26.0,1.0,2.0,0.0
2020-02-23,23.0,0.0,13.0,0.0,28.0,1.0,2.0,28.0,0.0,16.0,28.0,1.0,2.0,0.0
2020-02-24,25.0,0.0,15.0,0.0,30.0,1.0,5.0,30.0,0.0,17.0,30.0,1.0,5.0,0.0
2020-02-25,,,,,31.0,1.0,5.0,31.0,0.0,17.0,31.0,1.0,5.0,0.0
2020-02-26,26.0,0.0,15.0,0.0,32.0,1.0,5.0,32.0,0.0,18.0,32.0,1.0,5.0,0.0
2020-02-27,,,,,32.0,1.0,5.0,,,,32.0,1.0,5.0,0.0
2020-02-28,,,,,34.0,1.0,6.0,34.0,0.0,18.0,34.0,1.0,6.0,0.0
2020-02-29,,,,,39.0,1.0,9.0,,,,39.0,1.0,9.0,0.0
2020-03-01,,,,,40.0,1.0,9.0,,,,40.0,1.0,9.0,0.0
2020-03-02,,,,,41.0,1.0,12.0,,,,41.0,1.0,12.0,0.0
2020-03-03,,,,,42.0,1.0,12.0,,,,42.0,1.0,12.0,0.0
2020-03-04,,,,,42.0,1.0,12.0,,,,42.0,1.0,12.0,0.0
2020-03-05,,,,,44.0,1.0,12.0,,,,44.0,1.0,12.0,0.0
2020-03-06,,,,,45.0,1.0,12.0,,,,45.0,1.0,12.0,0.0
2020-03-07,,,,,45.0,1.0,12.0,,,,45.0,1.0,13.0,0.0
