,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-22,,,,,0,0,0,,,,,,,
2020-01-23,,,,,0,0,0,,,,,,,
2020-01-24,,,,,0,0,0,,,,,,,
2020-01-25,1.0,0.0,1.0,1.0,0,0,0,,,,,,,
2020-01-26,,,,,1,0,0,1.0,0.0,1.0,,,,
2020-01-27,2.0,0.0,1.0,1.0,1,0,0,2.0,0.0,1.0,,,,
2020-01-28,,,,,2,0,0,3.0,0.0,2.0,,,,
2020-01-29,3.0,0.0,2.0,1.0,2,0,0,,,,,,,
2020-01-30,,,,,2,0,0,,,,,,,
2020-01-31,4.0,0.0,3.0,1.0,4,0,0,,,,,,,
2020-02-01,,,,,4,0,0,4.0,0.0,3.0,,,,
2020-02-02,,,,,4,0,0,,,,,,,
2020-02-03,,,,,4,0,0,,,,,,,
2020-02-04,5.0,0.0,3.0,1.0,4,0,0,,,,4.0,0.0,0.0,0.0
2020-02-05,,,,,5,0,0,5.0,0.0,3.0,5.0,0.0,0.0,0.0
2020-02-06,7.0,0.0,3.0,1.0,5,0,0,7.0,0.0,3.0,,,,
2020-02-07,,,,,7,0,0,,,,5.0,0.0,0.0,0.0
2020-02-08,,,,,7,0,0,,,,,,,
2020-02-09,,,,,7,0,0,,,,,,,
2020-02-10,,,,,7,0,0,,,,7.0,0.0,0.0,0.0
2020-02-11,,,,,7,0,0,,,,7.0,0.0,0.0,0.0
2020-02-12,,,,,7,0,1,,,,,,,
2020-02-13,,,,,7,0,1,,,,7.0,0.0,0.0,0.0
2020-02-14,8.0,0.0,3.0,1.0,7,0,1,8.0,0.0,3.0,,,,
2020-02-15,,,,,7,0,1,,,,,,,
2020-02-16,,,,,7,0,1,,,,,,,
2020-02-17,,,,,8,0,1,,,,,,,
2020-02-18,,,,,8,0,1,,,,,,,
2020-02-19,,,,,8,0,1,,,,,,,
2020-02-20,9.0,0.0,3.0,1.0,8,0,1,,,,,,,
2020-02-21,,,,,9,0,3,9.0,0.0,3.0,,,,
2020-02-22,,,,,9,0,3,,,,,,,
2020-02-23,10.0,0.0,3.0,1.0,9,0,3,,,,,,,
2020-02-24,11.0,0.0,3.0,1.0,10,0,3,11.0,0.0,3.0,11.0,0.0,4.0,0.0
2020-02-25,,,,,11,0,3,,,,11.0,0.0,4.0,0.0
2020-02-26,12.0,0.0,4.0,1.0,11,0,3,,,,11.0,0.0,4.0,0.0
2020-02-27,14.0,0.0,4.0,1.0,13,0,6,12.0,0.0,3.0,13.0,0.0,4.0,0.0
2020-02-28,16.0,0.0,6.0,1.0,14,0,6,,,,13.0,0.0,4.0,0.0
2020-02-29,20.0,0.0,8.0,1.0,20,0,6,,,,13.0,0.0,4.0,0.0
2020-03-01,24.0,0.0,11.0,1.0,24,0,6,,,,13.0,0.0,4.0,0.0
2020-03-02,27.0,0.0,11.0,1.0,27,0,6,,,,13.0,0.0,4.0,0.0
2020-03-03,33.0,0.0,13.0,1.0,30,0,6,,,,13.0,0.0,4.0,0.0
2020-03-04,34.0,0.0,13.0,1.0,33,0,6,,,,13.0,0.0,4.0,0.0
2020-03-05,46.0,0.0,14.0,1.0,37,0,6,,,,13.0,0.0,4.0,0.0
2020-03-06,54.0,0.0,14.0,1.0,49,0,6,,,,13.0,0.0,4.0,0.0
2020-03-07,60.0,0.0,14.0,1.0,54,0,8,,,,13.0,0.0,4.0,0.0
2020-03-08,,,,,64,0,8,,,,13.0,0.0,4.0,0.0
2020-03-09,64.0,0.0,14.0,1.0,77,1,8,,,,13.0,0.0,4.0,0.0
2020-03-10,,,,,79,1,8,,,,13.0,0.0,4.0,0.0
2020-03-11,,,,,108,1,8,,,,13.0,0.0,4.0,0.0
2020-03-12,,,,,117,1,8,,,,13.0,0.0,4.0,0.0
2020-03-13,,,,,193,1,8,,,,13.0,0.0,4.0,0.0
