,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-20,1.0,0.0,1.0,0.0,,,,,,,,,,
2020-01-21,,,,,,,,1.0,0.0,1.0,,,,
2020-01-22,,,,,1.0,0.0,0.0,,,,,,,
2020-01-23,,,,,1.0,0.0,0.0,,,,,,,
2020-01-24,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,,,,
2020-01-25,,,,,2.0,0.0,0.0,,,,,,,
2020-01-26,6.0,0.0,2.0,0.0,5.0,0.0,0.0,5.0,0.0,3.0,,,,
2020-01-27,,,,,5.0,0.0,0.0,,,,,,,
2020-01-28,,,,,5.0,0.0,0.0,,,,,,,
2020-01-29,,,,,5.0,0.0,0.0,,,,,,,
2020-01-30,7.0,0.0,2.0,0.0,5.0,0.0,0.0,6.0,0.0,4.0,,,,
2020-01-31,,,,,7.0,0.0,0.0,8.0,0.0,4.0,,,,
2020-02-01,9.0,0.0,2.0,0.0,8.0,0.0,0.0,,,,,,,
2020-02-02,13.0,0.0,2.0,0.0,8.0,0.0,0.0,,,,,,,
2020-02-03,,,,,11.0,0.0,0.0,11.0,0.0,4.0,,,,
2020-02-04,,,,,11.0,0.0,0.0,,,,16.0,0.0,1.0,0.0
2020-02-05,,,,,11.0,0.0,0.0,12.0,0.0,4.0,12.0,0.0,1.0,0.0
2020-02-06,14.0,0.0,2.0,0.0,11.0,0.0,0.0,,,,12.0,0.0,1.0,0.0
2020-02-07,,,,,11.0,0.0,0.0,,,,12.0,0.0,1.0,0.0
2020-02-08,,,,,11.0,0.0,0.0,,,,,,,
2020-02-09,,,,,11.0,0.0,3.0,,,,,,,
2020-02-10,,,,,11.0,0.0,3.0,13.0,0.0,4.0,12.0,0.0,1.0,0.0
2020-02-11,16.0,0.0,2.0,0.0,12.0,0.0,3.0,,,,13.0,0.0,1.0,0.0
2020-02-12,17.0,0.0,2.0,0.0,12.0,0.0,3.0,14.0,0.0,4.0,,,,
2020-02-13,18.0,0.0,2.0,0.0,13.0,0.0,3.0,15.0,0.0,4.0,15.0,0.0,3.0,0.0
2020-02-14,,,,,13.0,0.0,3.0,,,,15.0,0.0,3.0,0.0
2020-02-15,,,,,13.0,0.0,3.0,,,,,,,
2020-02-16,,,,,13.0,0.0,3.0,,,,,,,
2020-02-17,,,,,13.0,0.0,3.0,,,,,,,
2020-02-18,19.0,0.0,2.0,0.0,13.0,0.0,3.0,16.0,0.0,4.0,,,,
2020-02-19,,,,,13.0,0.0,3.0,,,,,,,
2020-02-20,20.0,0.0,2.0,0.0,13.0,0.0,3.0,17.0,0.0,4.0,,,,
2020-02-21,23.0,0.0,2.0,0.0,15.0,0.0,5.0,35.0,0.0,4.0,15.0,0.0,3.0,0.0
2020-02-22,,,,,15.0,0.0,5.0,,,,34.0,0.0,3.0,0.0
2020-02-23,,,,,15.0,0.0,5.0,,,,35.0,0.0,3.0,0.0
2020-02-24,,,,,51.0,0.0,5.0,53.0,0.0,4.0,53.0,0.0,3.0,0.0
2020-02-25,,,,,51.0,0.0,6.0,57.0,0.0,4.0,53.0,0.0,3.0,0.0
2020-02-26,,,,,57.0,0.0,6.0,60.0,0.0,4.0,57.0,0.0,3.0,0.0
2020-02-27,,,,,58.0,0.0,6.0,,,,60.0,0.0,3.0,0.0
2020-02-28,27.0,0.0,2.0,0.0,60.0,0.0,7.0,66.0,0.0,4.0,60.0,0.0,3.0,0.0
2020-02-29,31.0,0.0,2.0,0.0,68.0,1.0,7.0,71.0,0.0,4.0,60.0,0.0,3.0,0.0
2020-03-01,46.0,0.0,2.0,0.0,74.0,1.0,7.0,91.0,0.0,4.0,60.0,0.0,3.0,0.0
2020-03-02,59.0,0.0,2.0,0.0,98.0,6.0,7.0,107.0,0.0,4.0,60.0,0.0,3.0,0.0
2020-03-03,89.0,2.0,2.0,0.0,118.0,7.0,7.0,130.0,0.0,5.0,60.0,0.0,3.0,0.0
2020-03-04,119.0,2.0,3.0,0.0,149.0,11.0,7.0,162.0,0.0,6.0,60.0,0.0,3.0,0.0
2020-03-05,178.0,2.0,3.0,0.0,217.0,12.0,7.0,236.0,0.0,8.0,60.0,0.0,3.0,0.0
2020-03-06,278.0,2.0,7.0,0.0,262.0,14.0,7.0,345.0,0.0,14.0,60.0,0.0,3.0,0.0
2020-03-07,392.0,2.0,8.0,0.0,402.0,17.0,7.0,461.0,0.0,16.0,60.0,0.0,3.0,0.0
2020-03-08,529.0,2.0,8.0,0.0,518.0,21.0,7.0,581.0,0.0,21.0,60.0,0.0,3.0,0.0
2020-03-09,572.0,2.0,9.0,0.0,583.0,22.0,7.0,751.0,0.0,23.0,60.0,0.0,3.0,0.0
2020-03-10,,,,,959.0,28.0,8.0,1048.0,0.0,25.0,60.0,0.0,3.0,0.0
2020-03-11,,,,,1281.0,36.0,8.0,1097.0,0.0,25.0,60.0,0.0,3.0,0.0
2020-03-12,,,,,,,,,,,60.0,0.0,3.0,0.0
