,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-22,,,,,0,0,0,,,,,,,
2020-01-23,,,,,0,0,0,,,,,,,
2020-01-24,,,,,0,0,0,,,,,,,
2020-01-25,,,,,0,0,0,,,,,,,
2020-01-26,,,,,0,0,0,,,,,,,
2020-01-27,,,,,0,0,0,,,,,,,
2020-01-28,,,,,0,0,0,,,,,,,
2020-01-29,,,,,0,0,0,,,,,,,
2020-01-30,,,,,0,0,0,,,,,,,
2020-01-31,1.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,,,,
2020-02-01,,,,,1,0,0,,,,,,,
2020-02-02,,,,,1,0,0,,,,,,,
2020-02-03,,,,,1,0,0,,,,,,,
2020-02-04,,,,,1,0,0,,,,,,,
2020-02-05,,,,,1,0,0,,,,,,,
2020-02-06,,,,,1,0,0,,,,,,,
2020-02-07,,,,,1,0,0,,,,,,,
2020-02-08,,,,,1,0,0,,,,,,,
2020-02-09,2.0,0.0,0.0,0.0,2,0,0,,,,,,,
2020-02-10,,,,,2,0,0,2.0,0.0,1.0,,,,
2020-02-11,,,,,2,0,0,,,,2.0,0.0,0.0,0.0
2020-02-12,,,,,2,0,0,,,,,,,
2020-02-13,,,,,2,0,0,,,,,,,
2020-02-14,,,,,2,0,0,,,,2.0,0.0,0.0,0.0
2020-02-15,,,,,2,0,2,,,,,,,
2020-02-16,,,,,2,0,2,,,,,,,
2020-02-17,,,,,2,0,2,,,,,,,
2020-02-18,,,,,2,0,2,,,,,,,
2020-02-19,,,,,2,0,2,,,,,,,
2020-02-20,,,,,2,0,2,,,,,,,
2020-02-21,,,,,2,0,2,,,,,,,
2020-02-22,,,,,2,0,2,,,,,,,
2020-02-23,,,,,2,0,2,,,,,,,
2020-02-24,4.0,0.0,0.0,0.0,2,0,2,3.0,0.0,1.0,,,,
2020-02-25,8.0,0.0,0.0,0.0,6,0,2,7.0,0.0,2.0,,,,
2020-02-26,11.0,0.0,0.0,0.0,13,0,2,13.0,0.0,4.0,,,,
2020-02-27,13.0,0.0,1.0,0.0,15,0,2,25.0,0.0,5.0,13.0,0.0,2.0,0.0
2020-02-28,,,,,32,0,2,35.0,0.0,6.0,13.0,0.0,2.0,0.0
2020-02-29,,,,,45,0,2,43.0,0.0,6.0,13.0,0.0,2.0,0.0
2020-03-01,,,,,84,0,2,55.0,0.0,6.0,13.0,0.0,2.0,0.0
2020-03-02,100.0,0.0,1.0,0.0,120,0,2,80.0,0.0,8.0,13.0,0.0,2.0,0.0
2020-03-03,131.0,0.0,1.0,0.0,165,1,2,81.0,0.0,9.0,13.0,0.0,2.0,0.0
2020-03-04,179.0,0.0,1.0,0.0,222,2,2,,,,13.0,0.0,2.0,0.0
2020-03-05,218.0,0.0,1.0,0.0,259,3,2,85.0,0.0,9.0,13.0,0.0,2.0,0.0
2020-03-06,346.0,0.0,1.0,0.0,400,5,2,96.0,0.0,9.0,13.0,0.0,2.0,0.0
2020-03-07,411.0,0.0,1.0,0.0,500,10,30,104.0,0.0,9.0,13.0,0.0,2.0,0.0
2020-03-08,571.0,0.0,1.0,0.0,673,17,30,111.0,0.0,9.0,13.0,0.0,2.0,0.0
2020-03-09,981.0,0.0,1.0,0.0,1073,28,32,116.0,0.0,9.0,13.0,0.0,2.0,0.0
2020-03-10,,,,,1695,35,32,,,,13.0,0.0,2.0,0.0
2020-03-11,,,,,2277,54,183,,,,13.0,0.0,2.0,0.0
2020-03-12,,,,,2277,55,183,,,,13.0,0.0,2.0,0.0
2020-03-13,,,,,5232,133,193,,,,13.0,0.0,2.0,0.0
2020-03-14,,,,,6391,195,517,,,,13.0,0.0,2.0,0.0
2020-03-15,,,,,7798,289,517,,,,13.0,0.0,2.0,0.0
2020-03-16,,,,,9942,342,530,,,,,,,
2020-03-17,,,,,11748,533,1028,,,,13.0,0.0,2.0,0.0
2020-03-18,,,,,13910,623,1081,,,,,,,
2020-03-19,,,,,17963,830,1107,,,,,,,
2020-03-20,,,,,20410,1043,1588,,,,13.0,0.0,2.0,0.0
