,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-22,,,,,0.0,0.0,0.0,,,,,,,
2020-01-23,,,,,0.0,0.0,0.0,,,,,,,
2020-01-24,,,,,0.0,0.0,0.0,,,,,,,
2020-01-25,,,,,0.0,0.0,0.0,,,,,,,
2020-01-26,,,,,0.0,0.0,0.0,,,,,,,
2020-01-27,,,,,0.0,0.0,0.0,,,,,,,
2020-01-28,,,,,0.0,0.0,0.0,,,,,,,
2020-01-29,,,,,0.0,0.0,0.0,,,,,,,
2020-01-30,,,,,0.0,0.0,0.0,,,,,,,
2020-01-31,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,
2020-02-01,,,,,2.0,0.0,0.0,,,,,,,
2020-02-02,,,,,2.0,0.0,0.0,,,,,,,
2020-02-03,,,,,2.0,0.0,0.0,,,,,,,
2020-02-04,,,,,2.0,0.0,0.0,,,,,,,
2020-02-05,,,,,2.0,0.0,0.0,,,,,,,
2020-02-06,3.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,,,,
2020-02-07,,,,,3.0,0.0,0.0,,,,3.0,0.0,0.0,0.0
2020-02-08,,,,,3.0,0.0,0.0,,,,,,,
2020-02-09,4.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,,,,
2020-02-10,8.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0
2020-02-11,,,,,8.0,0.0,0.0,,,,8.0,0.0,0.0,0.0
2020-02-12,9.0,0.0,0.0,0.0,9.0,0.0,1.0,9.0,0.0,0.0,,,,
2020-02-13,,,,,9.0,0.0,1.0,,,,9.0,0.0,0.0,0.0
2020-02-14,,,,,9.0,0.0,1.0,,,,9.0,0.0,0.0,0.0
2020-02-15,,,,,9.0,0.0,1.0,,,,,,,
2020-02-16,,,,,9.0,0.0,8.0,,,,,,,
2020-02-17,,,,,9.0,0.0,8.0,,,,,,,
2020-02-18,,,,,9.0,0.0,8.0,,,,,,,
2020-02-19,,,,,9.0,0.0,8.0,,,,,,,
2020-02-20,,,,,9.0,0.0,8.0,,,,,,,
2020-02-21,,,,,9.0,0.0,8.0,,,,,,,
2020-02-22,,,,,9.0,0.0,8.0,,,,,,,
2020-02-23,,,,,9.0,0.0,8.0,13.0,0.0,0.0,,,,
2020-02-24,,,,,13.0,0.0,8.0,,,,,,,
2020-02-25,,,,,13.0,0.0,8.0,,,,,,,
2020-02-26,,,,,13.0,0.0,8.0,,,,13.0,0.0,8.0,0.0
2020-02-27,12.0,0.0,0.0,0.0,15.0,0.0,8.0,16.0,0.0,0.0,,,,
2020-02-28,,,,,20.0,0.0,8.0,20.0,0.0,0.0,16.0,0.0,8.0,0.0
2020-02-29,,,,,23.0,0.0,8.0,,,,16.0,0.0,8.0,0.0
2020-03-01,,,,,36.0,0.0,8.0,,,,16.0,0.0,8.0,0.0
2020-03-02,,,,,,,,,,,16.0,0.0,8.0,0.0
